pan_id,full_sample_id,partner,volume,initial.mass.g,dry.pan.mass.g,burnt.pan.mass.g,
139,POC-471-20220917,sym,5,0.7337,0.7462,0.7445,0.0108
140,POC-472-20220917,sym,5,0.7239,0.7406,0.7344,0.0105
141,POC-473-20220917,sym,5,0.737,0.7494,0.7479,0.0109
142,POC-474-20220917,sym,5,0.7352,0.7509,0.7456,0.0104
143,POC-475-20220917,sym,5,0.7403,0.7538,0.7514,0.0111
144,POC-476-20220930,sym,5,0.7315,0.7486,0.7419,0.0104
145,POC-477-20220930,sym,5,0.7364,0.7504,0.7454,0.009
146,POC-478-20220930,sym,5,0.7373,0.752,0.7473,0.01
147,POC-479-20220930,sym,5,0.7446,0.7593,0.7546,0.01
148,POC-480-20220930,sym,5,0.7386,0.7526,0.7487,0.0101
149,POC-481-20220930,sym,5,0.7386,0.7538,0.7485,0.0099
150,POC-482-20220930,sym,5,0.7386,0.7509,0.748,0.0094
151,POC-483-20220930,sym,5,0.7307,0.7468,0.7403,0.0096
152,POC-484-20220930,sym,5,0.7374,0.75,0.7466,0.0092
153,POC-485-20220930,sym,5,0.7433,0.755,0.7531,0.0098
154,POC-175,sym,5,0.7416,0.7555,0.7559,0.0143
155,POC-466-20220727,sym,5,0.7294,0.7479,0.7476,0.0182
156,POC-467-20220727,sym,5,0.7351,0.7504,0.781,0.0459
157,POC-468-20220727,sym,5,0.7368,0.7541,0.7857,0.0489
158,POC-469-20220727,sym,5,0.7428,0.7592,0.7902,0.0474
159,POC-470-20220727,sym,5,0.7289,0.7413,0.7424,0.0135
160,POC-471-20220727,sym,5,0.7453,0.7568,0.7567,0.0114
161,POC-472-20220727,sym,5,0.724,0.7389,0.7367,0.0127
162,POC-473-20220727,sym,5,0.7465,0.7634,0.7604,0.0139
163,POC-474-20220727,sym,5,0.747,0.7637,0.7637,0.0167
164,POC-475-20220727,sym,5,0.736,0.7486,0.7492,0.0132
165,POC-476-20220729,sym,5,0.7405,0.7581,0.7525,0.012
166,POC-477-20220729,sym,5,0.7515,0.7663,0.7655,0.014
167,POC-478-20220729,sym,5,0.7516,0.7641,0.7635,0.0119
168,POC-479-20220729,sym,5,0.7524,0.7719,0.7659,0.0135
169,POC-480-20220729,sym,5,0.7513,0.7674,0.7633,0.012
170,POC-481-20220729,sym,5,0.7314,0.7483,0.7443,0.0129
171,POC-482-20220729,sym,5,0.7247,0.7436,0.7384,0.0137
172,POC-483-20220729,sym,5,0.734,0.7481,0.7456,0.0116
173,POC-484-20220729,sym,5,0.7552,0.7727,0.7677,0.0125
174,POC-485-20220729,sym,5,0.7332,0.7501,0.7497,0.0165
175,POC-466-20220215,sym,5,0.7422,0.7606,0.7596,0.0174
176,POC-467-20220215,sym,5,0.7328,0.7496,0.7508,0.018
177,POC-468-20220215,sym,5,0.7313,0.7458,0.7455,0.0142
178,POC-469-20220215,sym,5,0.7362,0.7515,0.751,0.0148
179,POC-470-20220215,sym,5,0.7391,0.7529,0.7557,0.0166
180,POC-471-20220215,sym,5,0.7499,0.766,0.765,0.0151
181,POC-472-20220215,sym,5,0.7478,0.7619,0.7652,0.0174
182,POC-473-20220215,sym,5,0.7512,0.766,0.7685,0.0173
183,POC-474-20220215,sym,5,0.7487,0.7634,0.766,0.0173
184,POC-475-20220215,sym,5,0.734,0.749,0.7508,0.0168
